"","product_id","title","author","date","ver.purchase","format","stars","comments","helpful","rver_url","rver_id"
"1","B01GTP417C","Sleep zero gravity style!","MariaChaChaCha",2018-09-03,1,"
      RastaPackage Type: Standard Packaging",5,"Love it. Set up and tear down is simple. So comfortable and perfect for 1 or 2",NA,"https://www.amazon.com/gp/profile/amzn1.account.AGWYVDXXIAGHG3I2XGSFULHHESJQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AGWYVDXXIAGHG3I2XGSFULHHESJQ"
"2","B01GTP417C","Best hammock EVER!","Kim N.",2018-08-31,1,"
      *Red/CharcoalPackage Type: Standard Packaging",5,"What's not to love about this portable, easy to hang hammock. It's so much fun.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AE5V56X3JXJ5VBETN3LMUKD4A2TQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AE5V56X3JXJ5VBETN3LMUKD4A2TQ"
"3","B01GTP417C","Easy to setup but ripped easily","NWDad206",2018-08-29,1,"
      RastaPackage Type: Standard Packaging",2,"Brand new hammock, used it for the first time while camping. It was fine until I accidentally scraped the ground and the whole thing ripped in half. I know it's thin but i didn't think it would rip this easily.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AENT6AHZ24DZ3ABMBK7GUVCTTX4Q/ref=cm_cr_arp_d_pdp?ie=UTF8","AENT6AHZ24DZ3ABMBK7GUVCTTX4Q"
"4","B01GTP417C","Great product","Kathleen B Hansen",2018-08-24,1,"
      RastaPackage Type: Standard Packaging",5,"Love this hammock, we use it all the time!",NA,"https://www.amazon.com/gp/profile/amzn1.account.AGYBTMMVF5ZQPO5442DCDHQP6AUQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AGYBTMMVF5ZQPO5442DCDHQP6AUQ"
"5","B01GTP417C","Held up to the greatest challenge.. children","Yaulynk",2018-08-21,1,"
      Navy/OlivePackage Type: Frustration-Free Packaging",5,"I ordered this over the winter and didn't get to use it till spring.  I am a large person and this held me well.  It said it would so that isn't what this review is about.It held up to children leaping into it.  Swinging with 4 of them in it, rocking like a hurricane.  I cringed each time I saw their rough use and guess what.  This thing held up to the level of use/abuse. Not a nick or mark no raveling of any stitching.I would buy this again and recommend it to anyone.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AE377NBELECNP3M5NDFGZFKP2JUA/ref=cm_cr_arp_d_pdp?ie=UTF8","AE377NBELECNP3M5NDFGZFKP2JUA"
"6","B01GTP417C","One Love.","Samantha",2018-08-20,1,"
      RastaPackage Type: Standard Packaging",5,"What a STEAL!One Love.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AFURMMWSQQG4BAKDK5U5VXNWWMRQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AFURMMWSQQG4BAKDK5U5VXNWWMRQ"
"7","B01GTP417C","perfect for college dorm room","Jeanne Condol",2018-08-20,1,"
      *Red/CharcoalPackage Type: Standard Packaging",5,"Lightweight, easy to transport and assemble.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AG6J2Q3B6MEKIYODRMW746H35YCQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AG6J2Q3B6MEKIYODRMW746H35YCQ"
"8","B01GTP417C","Rip Off","Amazon Customer",2018-08-19,0,"
      Purple/TealPackage Type: Standard Packaging",1,"Not that ENO is bad or failed me, but there are much better hammock vendors out there that have larger/more comfortable hammocks for like 1/2 the price....",NA,"https://www.amazon.com/gp/profile/amzn1.account.AFG3VOWPL53QOR6MBQK2JIJO2DMA/ref=cm_cr_arp_d_pdp?ie=UTF8","AFG3VOWPL53QOR6MBQK2JIJO2DMA"
"9","B01GTP417C","Too big for one person","AmazonShopper",2018-08-19,0,"
      Seafoam/GreyPackage Type: Standard Packaging",4,"I chose this hammock based on all of the positive reviews and the repeated advice that the DoubleNest is suitable for use by one person. I'm 5'11"" and slim and felt like I was drowning in all of the fabric. The burrito effect was too strong for my preferences so I replaced this hammock with a smaller ENO Sub7 Hammock and couldn't be happier.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AEQTYCLS6J35R5IHWCYAA5EYDK2Q/ref=cm_cr_arp_d_pdp?ie=UTF8","AEQTYCLS6J35R5IHWCYAA5EYDK2Q"
"10","B01GTP417C","I love it!","Eva",2018-08-17,1,"
      Lavender/VioletPackage Type: Standard Packaging",4,"Got a different color than what I ordered but it’s fine with me because I got it on Amazon deal it’s so nice to sit in extra spacious but it did have a weird smell oh well.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AFVNIULEY6O7VXJL5ZALXIL43ZHQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AFVNIULEY6O7VXJL5ZALXIL43ZHQ"
"11","B01GTP417C","Durable. Comfy. Great purchase.","SheaFam",2018-08-17,1,"
      RastaPackage Type: Standard Packaging",5,"Bought this little gem on the treasure truck for future camping excursions. Right now, it’s hanging in our backyard.I had never used this type of hammock before and it took a few minutes to set everything up. Overall it is easy to use, holds up well, super comfortable and compact.An added plus or minus, depending on your situation, it was easy to clean up after my 2year old peed in it. The liquid pooled in one spot and didn’t soak through. Maybe it would have if I let it sit long enough but I was able to clean it quickly without a doggy mess afterwards. Dried fast, too.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AEVTXCHGITEURK4B23IC5QLMF4AA/ref=cm_cr_arp_d_pdp?ie=UTF8","AEVTXCHGITEURK4B23IC5QLMF4AA"
"12","B01GTP417C","No cords","Jim Frankland",2018-08-08,1,"
      Grey/Green/BluePackage Type: Standard Packaging",3,"Disappointed it didn’t come with cords to make hanging easy.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AEO5LYR6BTMHZQK4DLMWNU7QPTEQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AEO5LYR6BTMHZQK4DLMWNU7QPTEQ"
