"","ObjectNum","Name","Type","Magnitude","Info","Constellation","List","Season","Zone"
"1","40","PK 120+9.1","Planetary Nebula",10,"Size: 0.6  F, vS, R, vsmbM, *12 sp","Cephas","Herschel 400","Winter","Green"
"2","129","OCL 294","Open Cluster",6.5,"Size: 21.  Cl, vL, pR, lC, st 9...13","Cassiopeia","Herschel 400","Winter","Yellow"
"3","136","OCL 295","Open Cluster",NA,"Size: 1.  glob. cl. , vF, S, eC","Cassiopeia","Herschel 400","Winter","Red"
"4","157","MCG 2-2-56","Galaxy",9.4,"Size: 4.3  pB, L, E, bet 2 cB st","Cetus","Herschel 400","Fall","Green"
"5","185","UGC 396","Galaxy",8.2,"Size: 11.5  pB, vL, iR, vgmbM, r","Cassiopeia","Herschel 400","Winter","Green"
"6","205","M 110","Galaxy",7,"Size: 17.4  vB, vL, mE 165deg , vgvmbM;","Andramada","Herschel 400","Fall","Green"
"7","225","OCL 305","Open Cluster",7,"Size: 12.  Cl, L, lC, st 9...10","Cassiopeia","Herschel 400","Winter","Green"
"8","246","PK 118-74.1","Planetary Nebula",7,"Size: 3.8  vF, L, 4 st in dif neb","Cetus","Herschel 400","Fall","Green"
"9","247","ESO 540-22","Galaxy",7.9,"Size: 20.0  F, eL, vmE 172deg","Cetus","Herschel 400","Fall","Green"
"10","253","ESO 474-29","Galaxy",6.1,"Size: 25.1  !! vvB, vvL, vmE 54deg , gbM","Sculptor","Herschel 400","Fall","Green"
"11","278","UGC 528","Galaxy",9.9,"Size: 2.2  cB, pL, R, 2 st 10 nr","Cassiopeia","Herschel 400","Winter","Green"
"12","288","ESO 474-SC37","Globular Cluster",8.1,"Size: 13.8  glob. cl. , B, L, lE, st 12.","Sculptor","Herschel 400","Fall","Green"
"13","381","OCL 317","Open Cluster",9,"Size: 6.  Cl, pC","Cassiopeia","Herschel 400","Winter","Green"
"14","404","UGC 718","Galaxy",9.1,"Size: 4.4  pB, cL, R, gbM, beta And sf","Andramada","Herschel 400","Fall","Green"
"15","436","OCL 320","Open Cluster",8.8,"Size: 6.  Cl, S, iF, pC","Cassiopeia","Herschel 400","Winter","Green"
"16","457","OCL 321","Open Cluster",6.4,"Size: 13.  Cl, B, L, pRi, st 7, 8, 10","Cassiopeia","Herschel 400","Winter","Green"
"17","488","UGC 907","Galaxy",9.3,"Size: 5.2  pB, L, R, svmbM, *8 f 10'","Pisces","Herschel 400","Fall","Green"
"18","524","UGC 968","Galaxy",9.6,"Size: 3.2  vB, pL, mbM, 4 S st nr","Pisces","Herschel 400","Fall","Green"
"19","559","OCL 322","Open Cluster",9.5,"Size: 4.  Cl, B, pL, pRi","Cassiopeia","Herschel 400","Winter","Green"
"20","584","IC 1712;H I 100","Galaxy",9.4,"Size: 3.8  vB, pL, R, mbM, p of 2; = IC","Cetus","Herschel 400","Fall","Green"
"21","596","MCG 1-5-5","Galaxy",9.9,"Size: 3.5  pB, R, bM, R, *6 f 12'","Cetus","Herschel 400","Fall","Green"
"22","598","M 33","Galaxy",4.7,"Size: 62.  ! eB, eL, R, vgbMN; = M33","Triangulum","Herschel 400","Fall","Green"
"23","613","ESO 413-11","Galaxy",9,"Size: 5.8  vB, vL, vmE 118deg , sbM, *10","Sculptor","Herschel 400","Fall","Green"
"24","615","MCG 1-5-8","Galaxy",10.5,"Size: 4.0  pB, pL, ilE, gbM, r, *8 np 10","Cetus","Herschel 400","Fall","Green"
"25","637","OCL 329","Open Cluster",8.2,"Size: 4.  Cl, pS, B & vF st","Cassiopeia","Herschel 400","Winter","Green"
"26","651","M 76","Planetary Nebula",11,"vB, f of Dneb; = M76","Perseus","Herschel 400","Winter","Green"
"27","654","OCL 330","Open Cluster",6.5,"Size: 5.  Cl, iF, Ri, one *6-7, st 11...","Cassiopeia","Herschel 400","Winter","Green"
"28","659","OCL 332","Open Cluster",7.9,"Size: 5.  Cl, lRi, st B","Cassiopeia","Herschel 400","Winter","Green"
"29","663","OCL 333","Open Cluster",7.1,"Size: 16.  Cl, B, L, eRi, st pL","Cassiopeia","Herschel 400","Winter","Green"
"30","720","MCG 2-5-68","Galaxy",9.2,"Size: 4.4  cB, pL, lE, psmbM","Cetus","Herschel 400","Fall","Green"
"31","752","OCL 363","Open Cluster",5.7,"Size: 50.  Cl, vvL, Ri, st L & sc","Andramada","Herschel 400","Fall","Green"
"32","772","UGC 1466","Galaxy",9.3,"Size: 7.1  B, cL, R, gbM, r","Aries","Herschel 400","Fall","Green"
"33","779","MCG 1-6-16","Galaxy",10,"Size: 4.1  cB, L, mE 162deg , mbM","Cetus","Herschel 400","Fall","Green"
"34","869","OCL 350","Open Cluster",4,"Size: 30.  ! Cl, vvL, vRi, st 7...14","Perseus","Herschel 400","Winter","Green"
"35","884","OCL 353","Open Cluster",4,"Size: 30.  ! Cl, vL, vRi, ruby * M","Perseus","Herschel 400","Winter","Green"
"36","891","UGC 1831","Galaxy",9,"Size: 13.5  ! B, vL, vmE 22deg","Andramada","Herschel 400","Fall","Green"
"37","908","ESO 545-11","Galaxy",9.2,"Size: 5.5  cB, vL, E","Cetus","Herschel 400","Fall","Green"
"38","936","UGC 1929","Galaxy",9.1,"Size: 5.2  vB, vL, R, mbMN, p of 2","Cetus","Herschel 400","Fall","Green"
"39","1022","MCG 1-7-25","Galaxy",10.4,"Size: 2.5  cB, pL, R, mbM, *11 nf 2'","Cetus","Herschel 400","Fall","Green"
"40","1023","UGC 2154","Galaxy",8.5,"Size: 8.7  vB, vL, vmE, vvmbM","Perseus","Herschel 400","Winter","Green"
"41","1027","OCL 357","Open Cluster",6.7,"Size: 20.  Cl, L, sc st, one 10m","Cassiopeia","Herschel 400","Winter","Green"
"42","1052","MCG 1-7-34","Galaxy",9.6,"Size: 2.9  B, pL, R, mbM *12","Cetus","Herschel 400","Fall","Green"
"43","1055","UGC 2173","Galaxy",9.6,"Size: 7.6  pF, cL, iE 80deg , bM, *11 n","Cetus","Herschel 400","Fall","Green"
"44","1084","MCG 1-8-7","Galaxy",9.6,"Size: 2.9  vB, pL, E, gpmbM","Eridanus","Herschel 400","Winter","Green"
