"","date","titles","Views_final"
"1",2018-09-22,"EP Lot: Criterion, Edmund, Meade, Celestron, B&L, Orion",39
"2",2018-09-22,"Explore Scientific 8.8mm 82 Degree Eyepiece",24
"3",2018-09-22,"TeleVue 32mm Plossl",42
"4",2018-09-22,"Carl Zeiss Jena Orthoscopics - single & matched pair!",67
"5",2018-09-22,"TeleVue 5mm Nagler Type 6",43
"6",2018-09-22,"VIXEN 3.5mm AND 5mm LVW eyepeices",47
"7",2018-09-22,"<REDUCED> TeleVue 13mm Nagler T1 w/ Green Box – Collectors Grade",31
"8",2018-09-22,"<REDUCED> Tele Vue Smoothies 19mm WF 10.5mm Pl w/Boxes Minty",86
"9",2018-09-22,"21 mm Denkmeier pair",53
"10",2018-09-22,"Glow-Ring night vision Accessory",147
"11",2018-09-22,"Celestron Eyepieces - new",164
"12",2018-09-22,"Pentax XL7 7mm beauty",88
"13",2018-09-22,"TV Radian 3mm, For Sale or Trade",62
"14",2018-09-22,"Pentax SMC O-18 & O-6",144
"15",2018-09-21,"WTB: Televue 40mm Plossl",17
"16",2018-09-21,"Celestron 1.25"" CrossAim Reticle Illuminated Eyepiece - 12.5mm",67
"17",2018-09-21,"Televe 21mm Plossl Old School Circle N Japan",109
"18",2018-09-21,"<REDUCED> Original Tele Vue 9mm Nagler T1 w/ Green Box – MINT",98
"19",2018-09-21,"Edmund 15mm Plossel",92
"20",2018-09-21,"Wanted - Orion Sirius 12.5mm Plossl",21
"21",2018-09-21,"APM UF 24 mm",126
"22",2018-09-21,"Celestron Axiom Japan Eyepieces Reduced",208
"23",2018-09-21,"Televue Nagler 16mm Type 5",27
"24",2018-09-21,"Tele Vue Delos 8mm",93
"25",2018-09-21,"Tele Vue Delos 10mm",87
"26",2018-09-21,"Collimation 3-Piece Set Tectron Reduced",69
"27",2018-09-21,"Wanted:  TeleVue 5mm DeLite eyepiece",18
"28",2018-09-21,"Televue 4mm Radian",110
"29",2018-09-21,"Tele Vue 4.5mm Delos",29
"30",2018-09-21,"Tele Vue 6mm Delos",30
"31",2018-09-20,"ES 24mm",179
"32",2018-09-20,"Carl Zeiss Abbe Ortho (ZAO) II Eyepiece Set",155
"33",2018-09-20,"Baader Hyperion 13mm",130
"34",2018-09-20,"Orion Stratus 17mm EP",35
"35",2018-09-20,"28mm Meade SWA 2inch Eyepiece",109
"36",2018-09-20,"Wanted Quality .965 eyepieces",64
"37",2018-09-20,"Meade S4000 S-Plossl 'LP '26mm Japan",96
"38",2018-09-19,"Nippon Kogaku Erecting Prism Assembly with 40mm eyepiece",109
