"","titles"
"1","EP Lot: Criterion, Edmund, Meade, Celestron, B&L, Orion"
"2","Explore Scientific 8.8mm 82 Degree Eyepiece"
"3","TeleVue 32mm Plossl"
"4","Carl Zeiss Jena Orthoscopics - single & matched pair!"
"5","TeleVue 5mm Nagler Type 6"
"6","VIXEN 3.5mm AND 5mm LVW eyepeices"
"7","<REDUCED> TeleVue 13mm Nagler T1 w/ Green Box – Collectors Grade"
"8","<REDUCED> Tele Vue Smoothies 19mm WF 10.5mm Pl w/Boxes Minty"
"9","21 mm Denkmeier pair"
"10","Glow-Ring night vision Accessory"
"11","Celestron Eyepieces - new"
"12","Pentax XL7 7mm beauty"
"13","TV Radian 3mm, For Sale or Trade"
"14","Pentax SMC O-18 & O-6"
"15","WTB: Televue 40mm Plossl"
"16","Celestron 1.25"" CrossAim Reticle Illuminated Eyepiece - 12.5mm"
"17","Televe 21mm Plossl Old School Circle N Japan"
"18","<REDUCED> Original Tele Vue 9mm Nagler T1 w/ Green Box – MINT"
"19","Edmund 15mm Plossel"
"20","Wanted - Orion Sirius 12.5mm Plossl"
"21","APM UF 24 mm"
"22","Celestron Axiom Japan Eyepieces Reduced"
"23","Televue Nagler 16mm Type 5"
"24","Tele Vue Delos 8mm"
"25","Tele Vue Delos 10mm"
"26","Collimation 3-Piece Set Tectron Reduced"
"27","Wanted:  TeleVue 5mm DeLite eyepiece"
"28","Televue 4mm Radian"
"29","Tele Vue 4.5mm Delos"
"30","Tele Vue 6mm Delos"
"31","ES 24mm"
"32","Carl Zeiss Abbe Ortho (ZAO) II Eyepiece Set"
"33","Baader Hyperion 13mm"
"34","Orion Stratus 17mm EP"
"35","28mm Meade SWA 2inch Eyepiece"
"36","Wanted Quality .965 eyepieces"
"37","Meade S4000 S-Plossl 'LP '26mm Japan"
"38","Nippon Kogaku Erecting Prism Assembly with 40mm eyepiece"
"39","Meade 1.25inch 40mm plossl"
"40","Televue 7mm Nagler"
"41","Nippon Kogaku 9mm Orthoscopic Eyepiece"
"42","Televue 20mm plossl"
"43","Orion Edge-On Planetary Eyepiece ** Reduced Price ** (final)"
"44","APOGEE 1 1/4"" 8mm Plossl Eyepiece, Japanese lenses"
"45","Meade Japan 32mm Plossll"
"46","0.965"" Hardware"
"47","University optics 12mm kellner (A)"
"48","Pair of 12.5mm Edmund FMC Orthos - excellent"
"49","Edmund 25mm FMC Ortho"
"50","A Pair of Celestron Vixen (Circle V) Plossl Eyepieces"
"51","Pair Of Vixen LV EP's - 6mm & 9mm"
"52","Tele Vue 19mm Panoptic"
"53","BNIB - Tele Vue 31 mm Nagler Type 5 Eyepiece"
"54","<REDUCED> TeleVue 11mm Nagler T1 w/ Green Box – Collectors Grade"
"55","Baader 17.5mm Morpheus Like New Cond."
"56","Economical Starter Set Eyepieces, Filters, Barlow, Case"
"57","Celestron 1 1/4"" silver top Plossl 10mm Eyepiece made in Japan"
"58","Celestron 1 1/4""  7.5mm Japanese made Ultima Series Eyepiece"
"59","Orion 9.5mm Lanthanum 1.25"" EP"
"60","TeleVue Delite 4mm, 5mm, 7mm"
"61","Vixen LVW 17mm 1.25"" EP in a great shape"
"62","SCOPE STUFF EYEPIECE PROJECTION TUBE-INCLUDES SHIPPING"
"63","Wanted: Meade 12.4 Japan Super Plossl "" Smoothie"""
"64","Fujiyama HD-OR 6-12.5-25 eyepieces"
"65","2” 30mm 80° eyepiece"
"66","12mm AT and 7.5 mm Levenhuk Plossls"
"67","25 mm & 12 mm celestron orthos Wanted"
"68","CORONADO Cemax 25mm"
"69","13 & 8mm Ethos"
"70","Pair Of Volcano Top Celestron Kellners - 25mm & 40mm, In Boxes"
"71","Orion Japan 50mm Plossl 2"" EP"
"72","Orion Q70 38mm EPs - 70 Degrees 2"""
"73","Tele Vue 16mm Nagler T2 Japan $135 Shipped"
"74","EYEPIECE SALE!"
"75","25mm Plossl Wide Angle Eyepiece 1.25"""
"76","Tele-Vue 4.8mm Nagler"
"77","Vixen SLV 6mm 1.25"""
"78","NEW .965"" 9mm Ramsden Crosshair Eyepiece"
"79","ES 25MM Super Plossl Almost new Shipped"
"80","Pentax XL 14mm"
"81","TeleVue 31mm Type 5 eyepiece"
"82","VIXEN  22MM  LV-W"
"83","32mm Masuyama 85, 14mm TV Radian, 9mm ES 100 for sale"
"84","LOWER PRICE! Vintage Set Of Edscorp Volcano Top Ortho Eyepieces"
"85","Celestron 40mm and 32mm Plossls"
"86","University 4mm Volcano Top Ortho Circle T JAPAN"
"87","University Optics Ortho 7mm Volcano Top"
"88","7.7mm and 4.8mm Orthoscopic"
"89","pair of 25mm japan orthos and 3x barlow"
"90","TeleVue 16mm Nagler Type 2"
"91","25mm Fujiyama HD-OR (2 available)"
"92","12.5mm Fujiyama HD-OR (1 left)"
"93","Televue Eyepieces"
"94","Meade Lens Set, Filters, Collimators, Illum. Reticals"
"95","Televue 2"" Paracorr"
"96","Explore Scientific 14mm 82 Degree"
"97","Explore Scientific 11mm 82° 1.25"" eyepiece"
"98","TeleVue T-Ring Adapter for 1 1/4"" Powermate"
"99","Parks Gold Series 10mm & 3-Element 2x Barlow"
